1	1	22.54783892
1	2	-12.45802041
1	3	-3.110371378
1	4	5.05E+00
1	5	5.456842326
1	6	9.72E+00
1	7	4.975061506
1	8	1.31E+01
1	9	22.11056511
1	10	-4.81E+00
1	11	2.735564487
1	12	0.177717524
1	13	-2.264251748
1	14	-2.185134886
1	15	-1.920963986
1	16	-4.854204129
1	17	-1.205766108
1	18	-5.870651036
1	19	-12.88106661
2	1	-12.45802041
2	2	15.06355237
2	3	-2.213160753
2	4	-2.139839005
2	5	-2.648637485
2	6	-3.456042891
2	7	-2.866379524
2	8	-5.080819429
2	9	-6.475337453
2	10	1.303670074
2	11	-1.03009451
2	12	0.550119046
2	13	2.87E-03
2	14	0.504509771
2	15	0.490812616
2	16	1.065189436
2	17	0.376394205
2	18	1.361505146
2	19	2.655538157
3	1	-3.110371378
3	2	-2.213160753
3	3	7.652810005
3	4	-1.191686324
3	5	-1.265480251
3	6	-2.450535367
3	7	-1.104671891
3	8	-3.345045059
3	9	-5.613638853
3	10	1.514278368
3	11	-1.165103055
3	12	0.563432017
3	13	0.106710995
3	14	5.96E-01
3	15	0.574887458
3	16	1.264907962
3	17	0.434176981
3	18	1.609096818
3	19	3.17E+00
4	1	5.047044532
4	2	-2.139839005
4	3	-1.191686324
4	4	1.187531936
4	5	1.26E+00
4	6	2.332996079
4	7	1.120892359
4	8	3.12455918
4	9	5.40E+00
4	10	-1.188025681
4	11	0.666696845
4	12	6.31E-02
4	13	-0.579722548
4	14	-0.542654126
4	15	-0.475579368
4	16	-1.207232611
4	17	-0.296385427
4	18	-1.457754196
4	19	-3.208828059
5	1	5.456842326
5	2	-2.648637485
5	3	-1.265480251
5	4	1.262216446
5	5	1.358636561
5	6	2.448626181
5	7	1.229474028
5	8	3.301779547
5	9	5.593234703
5	10	-1.229874479
5	11	0.710437917
5	12	2.35E-02
5	13	-0.557696147
5	14	-0.555602686
5	15	-0.490245716
5	16	-1.232148884
5	17	-0.310331024
5	18	-1.492980082
5	19	-3.26307683
6	1	9.716757325
6	2	-3.46E+00
6	3	-2.450535367
6	4	2.332996079
6	5	2.448626181
6	6	4.64260983
6	7	2.132119254
6	8	6.178540516
6	9	10.86824678
6	10	-2.40487462
6	11	1.322216556
6	12	1.85E-01
6	13	-1.231774088
6	14	-1.106812349
6	15	-0.965553072
6	16	-2.467540629
6	17	-0.595289248
6	18	-2.972714996
6	19	-6.57480996
7	1	4.975061506
7	2	-2.866379524
7	3	-1.104671891
7	4	1.120892359
7	5	1.229474028
7	6	2.132119254
7	7	1.143220117
7	8	2.90522887
7	9	4.773407761
7	10	-1.045082048
7	11	0.629564924
7	12	-3.36E-02
7	13	-0.419403627
7	14	-0.464241765
7	15	-0.413908575
7	16	-1.024520835
7	17	-0.268161873
7	18	-1.248040572
7	19	-2.697729176
8	1	13.11682931
8	2	-5.080819429
8	3	-3.345045059
8	4	3.12455918
8	5	3.301779547
8	6	6.178540516
8	7	2.90522887
8	8	8.252553655
8	9	1.44E+01
8	10	-3.184318205
8	11	1.782781166
8	12	0.178443318
8	13	-1.564471171
8	14	-1.46E+00
8	15	-1.275223945
8	16	-3.239463551
8	17	-0.793805914
8	18	-3.910752016
8	19	-8.61E+00
9	1	22.11056511
9	2	-6.475337453
9	3	-5.613638853
9	4	5.396825604
9	5	5.593234703
9	6	10.86824678
9	7	4.773407761
9	8	14.37104422
9	9	25.73604315
9	10	-5.703516914
9	11	3.053400942
9	12	0.608524111
9	13	-3.094613108
9	14	-2.650071436
9	15	-2.298464568
9	16	-5.923802944
9	17	-1.39758744
9	18	-7.115890129
9	19	-15.83231271
10	1	-4.808687296
10	2	1.303670074
10	3	1.514278368
10	4	-1.188025681
10	5	-1.229874479
10	6	-2.40487462
10	7	-1.045082048
10	8	-3.184318205
10	9	-5.703516914
10	10	14.56016314
10	11	-0.611020776
10	12	-1.09377623
10	13	0.412714766
10	14	7.887765692
10	15	4.150368451
10	16	1.92E+01
10	17	-0.733877903
10	18	18.01606816
10	19	59.16747768
10	20	-3.698462026
10	21	2.23E+00
10	22	-0.127902023
10	23	-1.459228005
10	24	-2.271298379
10	25	0.276855386
10	26	-6.11E+00
10	27	2.705406574
10	28	-3.003580098
10	29	-22.2038198
11	1	2.735564487
11	2	-1.03009451
11	3	-1.165103055
11	4	0.666696845
11	5	0.710437917
11	6	1.322216556
11	7	0.629564924
11	8	1.782781166
11	9	3.053400942
11	10	-0.611020776
11	11	5.895790682
11	12	3.22E-03
11	13	-3.042399039
11	14	0.590449931
11	15	-1.513717704
11	16	2.485766793
11	17	-3.349644146
11	18	-0.830380285
11	19	12.42588229
11	20	-2.229869452
11	21	1.22581451
11	22	0.169688465
11	23	-1.135613442
11	24	-1.359654483
11	25	0.239168955
11	26	-3.669187706
11	27	1.734730458
11	28	-1.668107208
11	29	-13.47996146
12	1	0.177717524
12	2	0.550119046
12	3	5.63E-01
12	4	6.31E-02
12	5	2.35E-02
12	6	0.184648305
12	7	-3.36E-02
12	8	1.78E-01
12	9	0.608524111
12	10	-1.09377623
12	11	3.22E-03
12	12	3.383471114
12	13	-5.87E-02
12	14	-0.87531177
12	15	-0.834850266
12	16	-2.143216666
12	17	-0.47594725
12	18	-2.82305648
12	19	-5.910260181
12	20	-0.129209462
12	21	-0.168914448
12	22	0.506359493
12	23	-0.569947899
12	24	-5.86E-02
12	25	0.1609613
12	26	-0.187344804
12	27	0.310854553
12	28	0.194986111
12	29	-0.965273235
13	1	-2.264251748
13	2	2.87E-03
13	3	0.106710995
13	4	-0.579722548
13	5	-0.557696147
