1	1	1
1	2	0
1	3	0
2	1	0
2	2	1
2	3	0
3	1	0
3	2	0
3	3	1.00E+00
4	4	1
4	5	0.00E+00
4	6	0
4	7	0
5	4	0
5	5	1
5	6	0
5	7	0
6	4	0
6	5	0
6	6	1
6	7	0
7	4	0
7	5	0.00E+00
7	6	0
7	7	1.00E+00
8	8	1
8	9	0.00E+00
8	10	0
8	11	0
9	8	0
9	9	1
9	10	0.00E+00
9	11	0
10	8	0.00E+00
10	9	0
10	10	1
10	11	0
11	8	0
11	9	0
11	10	0
11	11	1
12	12	1
12	13	0
12	14	0
12	15	0
13	12	0
13	13	1
13	14	0
13	15	0
14	12	0.00E+00
14	13	0
14	14	1.00E+00
14	15	0.00E+00
15	12	0
15	13	0
15	14	0
15	15	1
16	16	1
16	17	0.00E+00
16	18	0
16	19	0
17	16	0
17	17	1
17	18	0
17	19	0.00E+00
18	16	0
18	17	0
18	18	1.00E+00
18	19	0
19	16	0
19	17	0
19	18	0
19	19	1.00E+00
20	20	1.00E+00
20	21	0.00E+00
20	22	0
20	23	0
21	20	0
21	21	1
21	22	0
21	23	0
22	20	0
22	21	0
22	22	1
22	23	0
23	20	0
23	21	0.00E+00
23	22	0.00E+00
23	23	1.00E+00
24	24	1
24	25	0
24	26	0
24	27	0.00E+00
25	24	0
25	25	1
25	26	0
25	27	0
26	24	0.00E+00
26	25	0
26	26	1
26	27	0.00E+00
27	24	0
27	25	0.00E+00
27	26	0
27	27	1.00E+00
28	28	1
28	29	0.00E+00
28	30	0
28	31	0
29	28	0.00E+00
29	29	1.00E+00
29	30	0
29	31	0
30	28	0
30	29	0.00E+00
30	30	1
30	31	0.00E+00
31	28	0
31	29	0.00E+00
31	30	0
31	31	1
32	32	1
32	33	0
32	34	0.00E+00
32	35	0
33	32	0.00E+00
33	33	1.00E+00
33	34	0
33	35	0
34	32	0.00E+00
34	33	0
34	34	1
34	35	0.00E+00
35	32	0.00E+00
35	33	0
35	34	0
35	35	1
36	36	1.00E+00
36	37	0
36	38	0
36	39	0
37	36	0
37	37	1.00E+00
37	38	0
37	39	0
38	36	0.00E+00
38	37	0
38	38	1.00E+00
38	39	0.00E+00
39	36	0.00E+00
39	37	0.00E+00
39	38	0
39	39	1.00E+00
40	40	1.00E+00
40	41	0.00E+00
40	42	0.00E+00
40	43	0.00E+00
41	40	0.00E+00
41	41	1.00E+00
41	42	0.00E+00
41	43	0
42	40	0.00E+00
42	41	0
42	42	1.00E+00
42	43	0
43	40	0
43	41	0
43	42	0.00E+00
43	43	1.00E+00
44	44	1
44	45	0
44	46	0
44	47	0
45	44	0.00E+00
45	45	1
45	46	0.00E+00
45	47	0
46	44	0.00E+00
46	45	0
46	46	1.00E+00
46	47	0.00E+00
47	44	0
47	45	0
47	46	0
47	47	1
48	48	1.00E+00
48	49	0
48	50	0
48	51	0
49	48	0
49	49	1.00E+00
49	50	0.00E+00
49	51	0
50	48	0.00E+00
50	49	0
50	50	1
50	51	0.00E+00
51	48	0.00E+00
51	49	0
51	50	0
51	51	1
52	52	1
52	53	0.00E+00
52	54	0
52	55	0.00E+00
53	52	0
53	53	1.00E+00
53	54	0
53	55	0.00E+00
54	52	0.00E+00
54	53	0
54	54	1
54	55	0
55	52	0
55	53	0.00E+00
55	54	0
55	55	1
56	56	1.00E+00
56	57	0
56	58	0
56	59	0.00E+00
57	56	0
57	57	1.00E+00
57	58	0
57	59	0.00E+00
58	56	0.00E+00
58	57	0.00E+00
58	58	1
58	59	0.00E+00
59	56	0.00E+00
59	57	0.00E+00
59	58	0
59	59	1.00E+00
60	60	1
60	61	0.00E+00
60	62	0
61	60	0.00E+00
61	61	1
61	62	0.00E+00
62	60	0
62	61	0.00E+00
62	62	1.00E+00
