DOF		E0
09	-15.2122339387709
19      -23.5151573060642
29      -31.4064220393608
39      -35.7776992430954
49      -37.1582685197539
59      -37.4028883102468
69      -37.4262408127579
79      -37.4262923671411
89      -37.4258365070862
99      -37.4257334170429
