DOF		E0
19         -21.1058572394425
39         -31.4163630994964
59         -36.408333190538
79         -37.3521008252429
99         -37.4244851533393
119        -37.4259645826769
139        -37.4257462212831
159        -37.4257195147974
179        -37.4257179960352
199        -37.4257179638405
