DOF		E0
39         -27.7877091404404
79         -36.1031273540542
119        -37.374138396826
159        -37.4253730098523
199        -37.4257480056401
239        -37.4257191094608
279        -37.42571798261
319        -37.4257179667576
359        -37.4257179669179
